,beat,end_beat,duration,se_distance
653,1607339262,1607339294,32,11.557937562353542
654,1607339352,1607339389,37,15.590709321178645
655,1607339400,1607339440,40,21.285237950379624
656,1607339459,1607339495,36,20.52354925798092
657,1607339513,1607339556,43,20.436784680632236
658,1607339577,1607339617,40,19.83650016078508
659,1607339636,1607339693,57,13.13069582251887
660,1607339711,1607339761,50,11.588512090030664
661,1607339772,1607339814,42,15.572178409732803
662,1607339829,1607339863,34,15.148276807548205
663,1607339945,1607339992,47,12.87498579849305
664,1607340006,1607340050,44,11.262450091213694
665,1607340064,1607340108,44,11.794499577036108
666,1607340121,1607340166,45,11.2453409173173
667,1607340679,1607340794,115,53.354918453809645
668,1607340831,1607340841,10,28.56584547666736
669,1607341504,1607341648,144,142.7061327765238
670,1607341800,1607341961,161,64.25456438232692
671,1607342112,1607342216,104,66.73889333573109
672,1607342292,1607342397,105,66.15527327982898
673,1607343076,1607343257,181,142.86630743446156
674,1607343649,1607343679,30,10.000044756390984
675,1607343946,1607344051,105,84.35153816376403
676,1607344122,1607344293,171,189.92403184780542
677,1607344389,1607344554,165,187.3600114021918
678,1607344720,1607344763,43,10.168111463075999
679,1607344835,1607344867,32,11.824023431354128
680,1607344921,1607345092,171,85.38177371559495
681,1607345192,1607345366,174,101.28617591036976
682,1607345482,1607345642,160,94.89919720944704
683,1607345825,1607345929,104,149.11777046277
684,1607346014,1607346183,169,138.44260494647074
685,1607346989,1607347102,113,140.51179432708648
686,1607347172,1607347181,9,27.306284222837824
687,1607347199,1607347369,170,144.0255560365262
688,1607347450,1607347563,113,149.90315248728612
689,1607347834,1607347888,54,49.95156938346785
690,1607347946,1607347989,43,15.255979595077658
691,1607348238,1607348404,166,148.46991094424067
692,1607348474,1607348592,118,140.04547150284992
693,1607348638,1607348648,10,28.44824747651549
694,1607348697,1607348773,76,133.53932271763162
695,1607408217,1607408301,84,100.78378157839404
696,1607408305,1607408499,194,310.5653549454904
697,1607408535,1607408597,62,11.902543026119924
698,1607408795,1607408914,119,130.62877513562648
699,1607409157,1607409260,103,184.61324824927163
700,1607409426,1607409617,191,189.52220090754545
701,1607409738,1607409869,131,185.05287475178528
702,1607410017,1607410157,140,181.807724973496
703,1607410179,1607410188,9,29.963230722597924
704,1607411057,1607411159,102,97.62499432557094
705,1607411332,1607411434,102,98.17938833107468
706,1607413163,1607413249,86,62.22034420035278
707,1607413250,1607413259,9,21.16044429690526
708,1607413303,1607413402,99,72.20456176806901
709,1607413634,1607413724,90,74.08878898659157
710,1607413827,1607413928,101,76.34996829788639
